# Distance/nm	$\rho$	$I_{\text{CTF}}$	$I_{\text{CTF}} \otimes \sigma_{\text{detector}}$
-75.39385	1	0.99937	0.99989
-75.34384	1	0.9993	0.99989
-75.29382	1	0.99924	0.99989
-75.24381	1	0.99917	0.99988
-75.1938	1	0.99911	0.99988
-75.14379	1	0.99905	0.99988
-75.09377	1	0.999	0.99988
-75.04376	1	0.99895	0.99988
-74.99375	1	0.9989	0.99988
-74.94374	1	0.99887	0.99988
-74.89372	1	0.99883	0.99988
-74.84371	1	0.99881	0.99988
-74.7937	1	0.99879	0.99988
-74.74369	1	0.99878	0.99988
-74.69367	1	0.99878	0.99988
-74.64366	1	0.99879	0.99988
-74.59365	1	0.99881	0.99988
-74.54364	1	0.99883	0.99988
-74.49362	1	0.99886	0.99988
-74.44361	1	0.9989	0.99988
-74.3936	1	0.99894	0.99988
-74.34359	1	0.99899	0.99988
-74.29357	1	0.99905	0.99987
-74.24356	1	0.99911	0.99987
-74.19355	1	0.99917	0.99987
-74.14354	1	0.99923	0.99987
-74.09352	1	0.9993	0.99987
-74.04351	1	0.99936	0.99987
-73.9935	1	0.99943	0.99987
-73.94349	1	0.99949	0.99987
-73.89347	1	0.99955	0.99987
-73.84346	1	0.99961	0.99987
-73.79345	1	0.99966	0.99987
-73.74344	1	0.99971	0.99987
-73.69342	1	0.99975	0.99987
-73.64341	1	0.99978	0.99987
-73.5934	1	0.99981	0.99987
-73.54339	1	0.99983	0.99987
-73.49337	1	0.99984	0.99987
-73.44336	1	0.99984	0.99987
-73.39335	1	0.99983	0.99986
-73.34334	1	0.99982	0.99986
-73.29332	1	0.9998	0.99986
-73.24331	1	0.99977	0.99986
-73.1933	1	0.99973	0.99986
-73.14329	1	0.99969	0.99986
-73.09327	1	0.99964	0.99986
-73.04326	1	0.99958	0.99986
-72.99325	1	0.99952	0.99986
-72.94324	1	0.99946	0.99986
-72.89322	1	0.99939	0.99986
-72.84321	1	0.99933	0.99986
-72.7932	1	0.99926	0.99986
-72.74319	1	0.99919	0.99986
-72.69317	1	0.99913	0.99986
-72.64316	1	0.99906	0.99986
-72.59315	1	0.999	0.99986
-72.54314	1	0.99895	0.99985
-72.49312	1	0.9989	0.99985
-72.44311	1	0.99885	0.99985
-72.3931	1	0.99882	0.99985
-72.34309	1	0.99879	0.99985
-72.29307	1	0.99877	0.99985
-72.24306	1	0.99875	0.99985
-72.19305	1	0.99875	0.99985
-72.14304	1	0.99875	0.99985
-72.09302	1	0.99876	0.99985
-72.04301	1	0.99878	0.99985
-71.993	1	0.99881	0.99985
-71.94299	1	0.99884	0.99985
-71.89297	1	0.99888	0.99985
-71.84296	1	0.99893	0.99985
-71.79295	1	0.99899	0.99985
-71.74294	1	0.99904	0.99984
-71.69292	1	0.99911	0.99984
-71.64291	1	0.99917	0.99984
-71.5929	1	0.99924	0.99984
-71.54289	1	0.99931	0.99984
-71.49287	1	0.99938	0.99984
-71.44286	1	0.99944	0.99984
-71.39285	1	0.99951	0.99984
-71.34284	1	0.99957	0.99984
-71.29282	1	0.99962	0.99984
-71.24281	1	0.99968	0.99984
-71.1928	1	0.99972	0.99984
-71.14279	1	0.99976	0.99984
-71.09277	1	0.99979	0.99984
-71.04276	1	0.99982	0.99984
-70.99275	1	0.99983	0.99983
-70.94274	1	0.99984	0.99983
-70.89272	1	0.99984	0.99983
-70.84271	1	0.99983	0.99983
-70.7927	1	0.99981	0.99983
-70.74269	1	0.99979	0.99983
-70.69267	1	0.99975	0.99983
-70.64266	1	0.99971	0.99983
-70.59265	1	0.99966	0.99983
-70.54264	1	0.99961	0.99983
-70.49262	1	0.99955	0.99983
-70.44261	1	0.99949	0.99983
-70.3926	1	0.99942	0.99983
-70.34259	1	0.99935	0.99983
-70.29257	1	0.99928	0.99983
-70.24256	1	0.99921	0.99982
-70.19255	1	0.99914	0.99982
-70.14254	1	0.99907	0.99982
-70.09252	1	0.99901	0.99982
-70.04251	1	0.99895	0.99982
-69.9925	1	0.99889	0.99982
-69.94249	1	0.99884	0.99982
-69.89247	1	0.9988	0.99982
-69.84246	1	0.99876	0.99982
-69.79245	1	0.99874	0.99982
-69.74244	1	0.99872	0.99982
-69.69242	1	0.99871	0.99982
-69.64241	1	0.9987	0.99982
-69.5924	1	0.99871	0.99982
-69.54239	1	0.99873	0.99981
-69.49237	1	0.99875	0.99981
-69.44236	1	0.99878	0.99981
-69.39235	1	0.99882	0.99981
-69.34234	1	0.99887	0.99981
-69.29232	1	0.99892	0.99981
-69.24231	1	0.99898	0.99981
-69.1923	1	0.99904	0.99981
-69.14229	1	0.99911	0.99981
-69.09227	1	0.99917	0.99981
-69.04226	1	0.99925	0.99981
-68.99225	1	0.99932	0.99981
-68.94224	1	0.99939	0.99981
-68.89222	1	0.99946	0.99981
-68.84221	1	0.99952	0.9998
-68.7922	1	0.99958	0.9998
-68.74219	1	0.99964	0.9998
-68.69217	1	0.99969	0.9998
-68.64216	1	0.99974	0.9998
-68.59215	1	0.99977	0.9998
-68.54214	1	0.9998	0.9998
-68.49212	1	0.99983	0.9998
-68.44211	1	0.99984	0.9998
-68.3921	1	0.99984	0.9998
-68.34209	1	0.99984	0.9998
-68.29207	1	0.99983	0.9998
-68.24206	1	0.9998	0.9998
-68.19205	1	0.99977	0.99979
-68.14204	1	0.99973	0.99979
-68.09202	1	0.99969	0.99979
-68.04201	1	0.99963	0.99979
-67.992	1	0.99958	0.99979
-67.94199	1	0.99951	0.99979
-67.89197	1	0.99944	0.99979
-67.84196	1	0.99937	0.99979
-67.79195	1	0.9993	0.99979
-67.74194	1	0.99923	0.99979
-67.69192	1	0.99915	0.99979
-67.64191	1	0.99908	0.99979
-67.5919	1	0.99901	0.99978
-67.54189	1	0.99895	0.99978
-67.49187	1	0.99889	0.99978
-67.44186	1	0.99883	0.99978
-67.39185	1	0.99878	0.99978
-67.34184	1	0.99874	0.99978
-67.29182	1	0.99871	0.99978
-67.24181	1	0.99868	0.99978
-67.1918	1	0.99866	0.99978
-67.14179	1	0.99865	0.99978
-67.09177	1	0.99866	0.99978
-67.04176	1	0.99867	0.99978
-66.99175	1	0.99869	0.99978
-66.94174	1	0.99871	0.99977
-66.89172	1	0.99875	0.99977
-66.84171	1	0.99879	0.99977
-66.7917	1	0.99885	0.99977
-66.74169	1	0.9989	0.99977
-66.69167	1	0.99897	0.99977
-66.64166	1	0.99903	0.99977
-66.59165	1	0.9991	0.99977
-66.54164	1	0.99918	0.99977
-66.49162	1	0.99925	0.99977
-66.44161	1	0.99932	0.99977
-66.3916	1	0.9994	0.99976
-66.34159	1	0.99947	0.99976
-66.29157	1	0.99954	0.99976
-66.24156	1	0.9996	0.99976
-66.19155	1	0.99966	0.99976
-66.14154	1	0.99971	0.99976
-66.09152	1	0.99975	0.99976
-66.04151	1	0.99979	0.99976
-65.9915	1	0.99982	0.99976
-65.94149	1	0.99984	0.99976
-65.89147	1	0.99985	0.99976
-65.84146	1	0.99985	0.99976
-65.79145	1	0.99984	0.99975
-65.74144	1	0.99982	0.99975
-65.69142	1	0.99979	0.99975
-65.64141	1	0.99976	0.99975
-65.5914	1	0.99971	0.99975
-65.54139	1	0.99966	0.99975
-65.49137	1	0.9996	0.99975
-65.44136	1	0.99954	0.99975
-65.39135	1	0.99947	0.99975
-65.34134	1	0.9994	0.99975
-65.29132	1	0.99932	0.99975
-65.24131	1	0.99925	0.99974
-65.1913	1	0.99917	0.99974
-65.14129	1	0.99909	0.99974
-65.09127	1	0.99902	0.99974
-65.04126	1	0.99895	0.99974
-64.99125	1	0.99888	0.99974
-64.94124	1	0.99882	0.99974
-64.89122	1	0.99876	0.99974
-64.84121	1	0.99871	0.99974
-64.7912	1	0.99867	0.99974
-64.74119	1	0.99864	0.99974
-64.69117	1	0.99862	0.99973
-64.64116	1	0.9986	0.99973
-64.59115	1	0.9986	0.99973
-64.54114	1	0.9986	0.99973
-64.49112	1	0.99862	0.99973
-64.44111	1	0.99864	0.99973
-64.3911	1	0.99867	0.99973
-64.34109	1	0.99872	0.99973
-64.29107	1	0.99877	0.99973
-64.24106	1	0.99882	0.99973
-64.19105	1	0.99888	0.99972
-64.14104	1	0.99895	0.99972
-64.09102	1	0.99902	0.99972
-64.04101	1	0.9991	0.99972
-63.991	1	0.99918	0.99972
-63.94099	1	0.99925	0.99972
-63.89097	1	0.99933	0.99972
-63.84096	1	0.99941	0.99972
-63.79095	1	0.99948	0.99972
-63.74094	1	0.99955	0.99972
-63.69092	1	0.99961	0.99971
-63.64091	1	0.99967	0.99971
-63.5909	1	0.99972	0.99971
-63.54089	1	0.99977	0.99971
-63.49087	1	0.9998	0.99971
-63.44086	1	0.99983	0.99971
-63.39085	1	0.99984	0.99971
-63.34084	1	0.99985	0.99971
-63.29082	1	0.99985	0.99971
-63.24081	1	0.99983	0.99971
-63.1908	1	0.99981	0.9997
-63.14079	1	0.99978	0.9997
-63.09077	1	0.99974	0.9997
-63.04076	1	0.99969	0.9997
-62.99075	1	0.99963	0.9997
-62.94074	1	0.99956	0.9997
-62.89072	1	0.9995	0.9997
-62.84071	1	0.99942	0.9997
-62.7907	1	0.99934	0.9997
-62.74069	1	0.99926	0.99969
-62.69067	1	0.99918	0.99969
-62.64066	1	0.9991	0.99969
-62.59065	1	0.99902	0.99969
-62.54064	1	0.99894	0.99969
-62.49062	1	0.99887	0.99969
-62.44061	1	0.9988	0.99969
-62.3906	1	0.99874	0.99969
-62.34059	1	0.99868	0.99969
-62.29057	1	0.99863	0.99969
-62.24056	1	0.9986	0.99968
-62.19055	1	0.99857	0.99968
-62.14054	1	0.99854	0.99968
-62.09052	1	0.99853	0.99968
-62.04051	1	0.99853	0.99968
-61.9905	1	0.99854	0.99968
-61.94049	1	0.99856	0.99968
-61.89047	1	0.99859	0.99968
-61.84046	1	0.99863	0.99968
-61.79045	1	0.99868	0.99967
-61.74044	1	0.99873	0.99967
-61.69042	1	0.99879	0.99967
-61.64041	1	0.99886	0.99967
-61.5904	1	0.99894	0.99967
-61.54039	1	0.99901	0.99967
-61.49037	1	0.99909	0.99967
-61.44036	1	0.99918	0.99967
-61.39035	1	0.99926	0.99966
-61.34034	1	0.99934	0.99966
-61.29032	1	0.99942	0.99966
-61.24031	1	0.99949	0.99966
-61.1903	1	0.99957	0.99966
-61.14029	1	0.99963	0.99966
-61.09027	1	0.99969	0.99966
-61.04026	1	0.99974	0.99966
